from_node,to_node,relation
hyperinflation,dyspnea,result
hyperkalemia,arrhythmia,cause
hyperlipidemia,cardiac_output↓,result
hyperthyroid,tachycardia,cause
hyperthyroid,fatigue,result
hypoglycemia,delirium,cause
hypoglycemia,consciousness,cause
hypoglycemia,delirium,result
hypoglycemia,glucose,result
hypokalemia,arrhythmia,cause
hypotension,tachycardia,result
hypotension,renal_flow,cause
hypotension,consciousness,cause
hypothyroid,fatigue,cause
hypothyroid,edema,result
hypoxia,dyspnea,symptom
hypoxia,fatigue,symptom
hypoxia,spo2,result
hypoxia,delirium,cause
hypoxia,cyanosis,symptom
hypoxia,fatigue,result
hypoxia,consciousness,cause
hypoxia,encephalopathy,cause
hypoxia,dyspnea,result
immobility,bed_rest,result
increased_bowel_pressure,abdominal_distension,result
increased_icp,consciousness,cause
infection,pn,cause
inflammation,fever,result
inflammation,crp,result
inflammation,wbc,result
inflammation_airway,mucus_hyper,result
inflammation_alveolar,gas_exchange,cause
inflammation_alveolar,crp,result
inflammation_alveolar,wbc,result
inflammation_systemic,hypotension,result
inflammation_systemic,delirium,cause
inflammation_systemic,vasodilation,cause
inflammation_systemic,consciousness,cause
inflammation_systemic,coagulation_abnormality,cause
inflammation_systemic,crp,result
inflammation_systemic,wbc,result
influenza,fever,cause
influenza,fatigue,result
insomnia,fatigue,cause
insomnia,fatigue,result
insulin_def,glucose_uptake↓,cause
insulin_def,gluconeogenesis,cause
insulin_def,lipolysis,cause
intestinal_stenosis,bowel_obstruction,result
intestinal_stenosis,bowel_contents_retention,result
intestinal_stenosis,abdominal_pain,result
ischemia,anaerobic,cause
ischemia,necrosis,result
ischemia,chest_pain,symptom
ischemia,dyspnea,symptom
ischemia,nausea,symptom
ischemia,cold_sweat,symptom
ischemia,consciousness,cause
ischemia,arrhythmia,cause
ketone,dka,result
lipolysis,ketone,result
liver_failure,edema,result
liver_metastasis,ascites,result
lung_cancer,lung_tumor_growth,result
lung_cancer,pleural_effusion,result
lung_cancer,cachexia,result
lung_cancer,bone_metastasis,result
lung_cancer,brain_metastasis,result
lung_tumor_growth,airway_stenosis,result
lung_tumor_growth,hemoptysis,result
lung_tumor_growth,recurrent_laryngeal_nerve_palsy,result
lung_tumor_growth,svc_syndrome,result
malnutrition,fatigue,result
malnutrition,adl,result
malnutrition,muscle_atrophy,cause
melena,anemia,cause
melena,chronic_bleeding,result
meningitis,inflammation,cause
meningitis,delirium,result
metastasis,fatigue,result
mi,fatigue,result
mi,troponin,result
mi,shock_cardiogenic,cause
mi,arrhythmia,result
mi,coronary_occlusion,cause
microvascular_damage,retinopathy,result
microvascular_damage,nephropathy,result
microvascular_damage,neuropathy,result
migraine,fatigue,result
motor_deficit,adl,result
mucus_hyper,airway_block,cause
mucus_hyper,sputum,result
mucus_hyper,atelectasis,cause
muscle_atrophy,muscle_weakness,result
muscle_atrophy,fatigue,result
muscle_weakness,gait_disorder,result
myocarditis,cardiac_output↓,result
nausea,vomiting,result
necrosis,troponin,result
necrosis,contractility↓,cause
necrosis,motor_deficit,result
necrosis,sensory_deficit,result
necrosis,aphasia,result
nephrotic,edema,cause
nephrotic,urine,result
nerve_invasion,neuropathic_pain,result
obesity,dyspnea,result
osmotic_diuresis,dehydration,result
osmotic_diuresis,polyuria,result
osteoporosis,adl,result
osteoporosis,bone_fragility,cause
oxidative_stress,protease,cause
pain,adl,result
pain,immobility,result
pain,insomnia,cause
pain,appetite_loss,cause
pain,delirium,cause
pain,ventilation,result
pancreatitis,inflammation,cause
pancreatitis,abdominal_pain,result
parkinson,adl,result
pe,hypoxia,cause
pe,dyspnea,result
pe,gas_exchange,cause
pe,d_dimer,result
pe,shock_obstructive,cause
pe,hypoxia,result
perforation,peritonitis,result
pericarditis,inflammation,cause
peritonitis,sepsis,result
plaque,plaque_rupture,cause
plaque_rupture,thrombus,cause
pleural_effusion,dyspnea,result
pn,infection,cause
pn,lung_inflammation,cause
pn,inflammation_alveolar,cause
pn,sputum,result
pneumothorax,gas_exchange,cause
pneumothorax,dyspnea,result
pneumothorax,shock_obstructive,cause
postoperative_pain,deep_breathing↓,cause
pressure_ulcer,inflammation,cause
prostatitis,inflammation,cause
protease,alveolar_damage,cause
pulmonary_congestion,dyspnea,result
pulmonary_htn,right_hf,cause
pulmonary_vasoconstriction,pulmonary_htn,result
recurrent_laryngeal_nerve_palsy,hoarseness,result
renal_failure,urine,result
renal_failure,edema,result
renal_failure,electrolyte,cause
renal_flow,renal_failure,result
renal_flow,urine,result
renal_hypoperfusion,oliguria,result
renal_hypoperfusion,fluid_retention,result
renal_stone,abdominal_pain,cause
renal_stone,back_pain,result
respiratory_muscle↑,energy_consumption,cause
right_hf,edema,result
right_hf,systemic_congestion,result
secretion_retention,airway_obstruction,cause
secretion_retention,pn,cause
seizure,delirium,result
sensory_deficit,adl,result
sepsis,hypotension,result
sepsis,inflammation_systemic,cause
shock,hypoxia,result
shock_cardiogenic,hypotension,result
shock_distributive,hypotension,result
shock_distributive,hypoxia,result
shock_hypovolemic,hypotension,result
shock_obstructive,hypotension,result
sinusitis,inflammation,cause
smoking,oxidative_stress,cause
sputum,airway_block,cause
sputum,atelectasis,cause
sputum_retention,airway_block,cause
sputum_retention,infection,cause
stroke,consciousness,result
stroke,delirium,result
stroke,motor_deficit,result
stroke,swallowing_disorder,result
stroke,cerebral_occlusion,cause
svc_syndrome,facial_edema,result
swallowing_disorder,aspiration,cause
systemic_congestion,edema,result
systemic_congestion,jugular_distension,result
systemic_congestion,hepatomegaly,result
tb,infection,cause
tb,fatigue,result
thrombus,coronary_occlusion,cause
thrombus,cerebral_occlusion,cause
ulcer,gi_bleed,result
urine,edema,result
uti,infection,cause
uti,fever,result
varices,gi_bleed,result
vasodilation,hypotension,result
vasodilation,shock_distributive,result
ventilation,gas_exchange,cause
ventilation,gas_exchange,result
vf,cardiac_arrest,result
colon_cancer,left_colon_cancer,result
left_colon_cancer,intestinal_stenosis,result
left_colon_cancer,apple_core_sign,result
left_colon_cancer,constipation,result
left_colon_cancer,abdominal_pain,result
colon_cancer,right_colon_cancer,result
left_colon_cancer,melena,result
left_colon_cancer,anemia,result
left_colon_cancer,weight_loss,result
nausea,appetite_loss,cause
vomiting,dehydration,cause
malnutrition,weight_loss,result
right_colon_cancer,fatigue,result
right_colon_cancer,asymptomatic,result
asymptomatic,delayed_detection,result
delayed_detection,tumor_progression,result
liver_cirrhosis,portal_hypertension,result
liver_cirrhosis,hepatic_failure,result
hepatic_failure,protein_metabolism_disorder,result
hepatic_failure,hormone_metabolism_disorder,result
hepatic_failure,bile_excretion_disorder,result
hepatic_failure,ammonia_metabolism_disorder,result
hepatic_failure,coagulopathy,result
protein_metabolism_disorder,hypoalbuminemia,result
hypoalbuminemia,ascites,cause
hypoalbuminemia,edema,cause
ascites,dyspnea,result
bile_excretion_disorder,hyperbilirubinemia,result
hyperbilirubinemia,jaundice,result
jaundice,pruritus,result
ammonia_metabolism_disorder,hyperammonemia,result
hyperammonemia,hepatic_encephalopathy,result
hepatic_encephalopathy,consciousness_disturbance,result
portal_hypertension,esophageal_varices,result
esophageal_varices,hematemesis,result
portal_hypertension,splenomegaly,result
splenomegaly,thrombocytopenia,result
thrombocytopenia,bleeding_tendency,result
coagulopathy,bleeding_tendency,result
bleeding_tendency,hematemesis,result
hormone_metabolism_disorder,gynecomastia,result
liver_cirrhosis,malnutrition,result
malnutrition,muscle_atrophy,result
hepatic_encephalopathy,asterixis,result
jaundice,dark_urine,result
hormone_metabolism_disorder,spider_angioma,result
hypoalbuminemia,pleural_effusion,cause
liver_cirrhosis,hepatic_fatigue,result
hepatic_fatigue,adl,result
muscle_weakness,adl,result
chronic_kidney_disease,renal_dysfunction,result
renal_dysfunction,water_retention,result
water_retention,edema,result
renal_dysfunction,epo_decrease,result
epo_decrease,renal_anemia,result
renal_anemia,renal_fatigue,result
renal_fatigue,adl,result
renal_dysfunction,uremic_toxin_retention,result
uremic_toxin_retention,appetite_loss,result
uremic_toxin_retention,nausea,result
renal_dysfunction,potassium_excretion_decrease,result
potassium_excretion_decrease,hyperkalemia,result
hyperkalemia,arrhythmia,result
renal_dysfunction,vitamin_d_activation_decrease,result
vitamin_d_activation_decrease,hypocalcemia,result
hypocalcemia,secondary_hyperparathyroidism,result
secondary_hyperparathyroidism,renal_osteodystrophy,result
chronic_kidney_disease,hemodialysis,result
hemodialysis,avf,result
water_retention,volume_overload,result
volume_overload,cardiac_load,result
cardiac_load,pulmonary_congestion,result
decreased_peristalsis,intestinal_contents_retention,result
intestinal_contents_retention,increased_intestinal_pressure,result
increased_intestinal_pressure,intestinal_distension,result
intestinal_distension,bowel_edema,result
intestinal_distension,abdominal_distension,result
intestinal_distension,abdominal_pain,result
intestinal_contents_retention,nausea,result
dehydration,electrolyte_abnormality,result
vomiting,aspiration,result
aspiration,pn,result
bowel_edema,intestinal_necrosis,result
intestinal_necrosis,perforation,result
nausea,appetite_loss,result
ileus,mechanical_ileus,result
ileus,paralytic_ileus,result
mechanical_ileus,fecal_obstruction,result
fecal_obstruction,intestinal_contents_retention,result
intestinal_contents_retention,gas_retention,result
gas_retention,abdominal_distension,result
gas_retention,absence_of_flatus,result
fecal_obstruction,absence_of_defecation,result
mechanical_ileus,colicky_pain,result
mechanical_ileus,bowel_sound_hyperactivity,result
paralytic_ileus,decreased_peristalsis,result
decreased_peristalsis,bowel_sound_decrease,result
prostate_cancer,prostate_enlargement,result
prostate_enlargement,urethral_compression,result
urethral_compression,neurogenic_bladder,result
urethral_compression,residual_urine,result
residual_urine,frequent_urination,result
frequent_urination,nocturia,result
residual_urine,urinary_retention,result
residual_urine,urinary_tract_infection,result
prostate_cancer,hematuria,result
prostate_cancer,bone_metastasis,result
bone_pain,gait_disorder,result
prostate_cancer,psa_elevation,result
psa_elevation,prostate_biopsy,result
prostate_cancer,hormone_therapy,result
hormone_therapy,hot_flash,result
hormone_therapy,osteoporosis,result
bone_metastasis,spinal_metastasis,result
spinal_metastasis,spinal_cord_compression,result
spinal_cord_compression,lower_limb_paralysis,result
lower_limb_paralysis,adl,result
obstructive_dysuria,weak_urine_stream,result
obstructive_dysuria,voiding_delay,result
urinary_retention,hydronephrosis,result
hydronephrosis,postrenal_failure,result
hormone_therapy,sexual_dysfunction,result
parkinsons_disease,dopamine_decrease,result
akinesia,festination,result
akinesia,freezing_gait,result
akinesia,masked_face,result
freezing_gait,fall,result
postural_reflex_disorder,fall,result
fall,adl,result
akinesia,adl,result
muscle_rigidity,adl,result
parkinsons_disease,postural_reflex_disorder,result
dysphagia,aspiration,result
orthostatic_hypotension,fall,result
parkinsons_disease,levodopa,result
levodopa,dyskinesia,result
levodopa,long_term_levodopa_use,result
long_term_levodopa_use,drug_effect_shortening,result
drug_effect_shortening,unable_to_move_when_drug_wears_off,result
unable_to_move_when_drug_wears_off,wearing_off,result
wearing_off,akinesia,result
wearing_off,freezing_gait,result
long_term_levodopa_use,dopamine_fluctuation,result
dopamine_fluctuation,sudden_motor_fluctuation,result
sudden_motor_fluctuation,on_off_phenomenon,result
on_off_phenomenon,akinesia,result
on_off_phenomenon,dyskinesia,result
muscle_rigidity,postural_abnormality,result
muscle_rigidity,joint_stiffness,result
resting_tremor,fine_motor_difficulty,result
dopamine_decrease,motor_control_disorder,result
motor_control_disorder,akinesia,result
motor_control_disorder,resting_tremor,result
motor_control_disorder,muscle_rigidity,result
motor_control_disorder,festination,result
motor_control_disorder,freezing_gait,result
motor_control_disorder,masked_face,result
motor_control_disorder,small_voice,result
dopamine_decrease,autonomic_dysfunction,result
autonomic_dysfunction,constipation,result
autonomic_dysfunction,orthostatic_hypotension,result
autonomic_dysfunction,bladder_dysfunction,result
bladder_dysfunction,frequent_urination,result
bladder_dysfunction,urinary_urgency,result
dopamine_decrease,swallowing_muscle_disorder,result
swallowing_muscle_disorder,dysphagia,result
motor_control_disorder,postural_reflex_disorder,result
chemotherapy,chemo_nausea,result
chemotherapy,chemo_neutropenia,result
leukemia,abnormal_blast_proliferation,result
abnormal_blast_proliferation,bone_marrow_failure,result
bone_marrow_failure,normal_hematopoiesis_suppression,result
normal_hematopoiesis_suppression,anemia,result
normal_hematopoiesis_suppression,thrombocytopenia,result
normal_hematopoiesis_suppression,chemo_neutropenia,result
anemia,dyspnea,result
anemia,tachycardia,result
anemia,oxygen_transport_decrease,result
oxygen_transport_decrease,anemia_fatigue,result
anemia_fatigue,adl,result
bleeding_tendency,purpura,result
bleeding_tendency,epistaxis,result
chemo_neutropenia,susceptibility_to_infection,result
susceptibility_to_infection,fever,result
susceptibility_to_infection,sepsis,result
abnormal_blast_proliferation,bone_pain,result
abnormal_blast_proliferation,lymphadenopathy,result
abnormal_blast_proliferation,hepatosplenomegaly,result
